Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
722,05-000003,30.586,9.122,159.16,0.9,317,287,245
763,05-000045,32.672,8.554,53.1,1.52,266,97,82
790,05-000080,31.212,10.643,43.51,0.58,455,230,67
860,05-000157,30.303,6.393,32.07,1.83,69,313,50
882,05-000182,31.92,6.178,29.35,1.2,50,166,46
963,05-000280,30.615,8.516,23.69,0.48,262,284,37
980,05-000302,33.513,7.026,22.88,0.54,127,21,36
992,05-000316,32.813,6.32,22.03,0.27,63,85,34
1020,05-000349,30.406,10.829,20.91,0.25,472,303,33
1054,05-000390,32.714,10.18,19.33,0.26,413,94,30
1099,05-000443,32.617,7.526,17.39,0.87,172,102,27
1152,05-000504,32.107,5.944,15.42,0.37,28,149,24
1161,05-000516,32.216,9.358,15.15,1.0,339,139,24
1281,05-000661,32.458,10.621,12.13,0.36,453,117,19
1308,05-000696,32.673,6.93,11.69,0.21,118,97,18
1321,05-000713,30.736,10.808,11.46,0.11,470,273,18
1345,05-000741,31.518,10.799,11.19,0.58,470,202,18
1347,05-000743,31.088,9.25,11.15,0.08,329,241,18
1489,05-000917,32.328,8.806,9.39,0.0,288,129,15
1498,05-000929,32.828,9.987,9.28,0.43,396,83,15
1503,05-000937,33.291,7.799,9.15,0.44,197,41,15
1515,05-000951,30.662,8.22,9.02,0.38,235,280,14
4224,12-000020,29.771,6.645,99.08,1.65,92,361,153
4277,12-000073,28.436,10.393,62.72,0.58,433,482,97
4640,12-000436,29.446,10.05,26.6,0.59,401,390,41
4661,12-000457,28.139,8.026,25.98,0.46,218,509,40
4833,12-000629,28.226,6.264,20.42,0.47,58,501,32
4877,12-000673,29.07,7.657,19.52,0.68,184,425,31
4906,12-000702,28.247,5.939,19.09,1.1,28,499,30
4969,12-000765,29.2,8.319,17.8,1.09,244,413,28
5330,12-001126,29.792,10.555,12.31,0.65,447,359,19
5427,12-001223,29.597,7.955,11.34,0.89,211,377,18
5438,12-001234,29.063,11.215,11.28,0.0,507,425,18
5506,12-001302,29.162,9.568,10.82,0.32,358,416,17
5523,12-001319,28.83,11.015,10.65,0.23,489,446,17
5638,12-001434,29.05,8.567,9.8,0.21,267,426,16
