Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
9710,17-000005,-29.319,-112.199,45.88,0.41,27,108,71
9716,17-000011,-29.689,-107.611,37.27,0.59,444,142,58
9718,17-000013,-29.029,-109.495,35.34,0.69,272,82,55
9738,17-000033,-29.456,-108.269,22.06,0.49,384,120,34
9752,17-000047,-29.421,-107.222,19.58,1.09,479,117,31
9753,17-000048,-28.459,-107.393,19.38,1.1,463,30,30
9757,17-000052,-29.985,-107.274,18.87,1.04,474,168,30
9766,17-000061,-29.764,-107.508,18.03,1.45,453,148,28
9774,17-000069,-29.953,-110.97,17.56,1.0,138,166,28
9820,17-000115,-28.584,-109.686,11.53,0.25,255,41,18
9839,17-000134,-29.825,-107.051,10.31,0.0,495,154,16
9848,17-000143,-28.276,-112.324,9.82,0.91,15,13,16
9852,17-000147,-28.168,-110.674,9.71,0.75,165,3,15
9855,17-000150,-29.569,-108.663,9.52,0.17,348,131,15
9860,17-000155,-29.366,-109.359,9.19,0.18,285,112,15
9884,17-000179,-28.892,-109.211,8.41,0.55,298,69,13
19252,25-000060,-33.587,-107.788,66.1,2.4,428,496,102
19265,25-000087,-31.114,-110.701,53.54,0.57,163,271,83
19268,25-000090,-31.274,-109.67,51.98,0.94,257,286,80
19305,25-000150,-31.254,-112.232,43.68,0.75,24,284,68
19359,25-000243,-32.054,-110.35,33.21,0.76,195,356,52
19360,25-000246,-30.924,-110.119,33.07,1.65,216,254,51
19379,25-000297,-31.279,-110.973,29.84,0.0,138,286,46
19403,25-000344,-30.503,-111.514,26.46,0.52,89,216,41
19418,25-000386,-33.079,-110.258,24.42,0.86,203,450,38
19440,25-000434,-31.428,-111.507,22.6,0.56,90,300,35
19452,25-000461,-31.647,-107.507,22.03,0.2,453,319,34
19465,25-000493,-32.87,-110.617,20.99,0.67,171,431,33
19494,25-000567,-32.561,-107.51,18.85,0.5,453,402,29
19503,25-000584,-32.315,-112.409,18.47,1.02,8,380,29
19519,25-000621,-31.277,-108.815,17.45,1.17,334,286,27
19526,25-000635,-30.759,-110.813,17.19,0.91,153,239,27
19553,25-000705,-32.219,-107.471,15.93,0.33,456,371,25
19575,25-000754,-31.981,-109.357,15.14,0.42,285,350,24
19625,25-000860,-30.214,-111.127,13.76,1.04,124,189,22
19643,25-000913,-32.709,-110.39,13.08,0.98,191,416,21
19657,25-000949,-30.553,-108.151,12.79,0.77,395,220,20
19662,25-000959,-33.715,-107.997,12.66,0.71,409,507,20
19678,25-001003,-31.614,-110.422,12.13,0.78,188,316,19
19765,25-001176,-32.52,-110.627,10.16,0.42,170,399,16
19781,25-001217,-30.169,-110.203,9.81,0.56,208,185,16
19839,25-001334,-30.765,-107.757,8.98,0.92,430,239,14
