Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
10565,19-000127,-28.863,-6.582,44.16,0.71,424,67,68
10629,19-000191,-29.68,-11.155,35.29,1.14,8,141,55
10636,19-000198,-29.496,-9.896,34.72,1.08,123,124,54
10763,19-000325,-28.13,-9.522,26.22,0.74,156,0,41
10773,19-000335,-29.169,-9.414,25.75,0.71,166,94,40
11020,19-000582,-28.403,-9.797,17.52,0.98,131,25,27
11064,19-000626,-29.014,-8.841,16.25,0.34,218,80,25
11088,19-000650,-29.279,-9.18,15.82,0.69,188,104,25
11176,19-000738,-28.583,-10.353,14.19,0.95,81,41,22
11206,19-000768,-28.522,-10.527,13.77,0.94,65,36,22
11289,19-000851,-29.672,-8.347,12.46,0.13,263,140,20
11365,19-000927,-28.651,-10.148,11.55,1.03,100,47,18
11407,19-000969,-29.523,-8.411,10.99,0.13,257,127,17
11588,19-001150,-29.388,-8.663,9.36,1.0,235,114,15
11678,19-001240,-29.959,-6.145,8.76,0.74,463,166,14
11742,19-001304,-28.33,-9.974,8.38,0.46,115,18,13
19937,26-000037,-31.312,-6.138,66.56,0.39,464,289,103
19953,26-000075,-30.329,-9.374,52.9,0.21,170,200,82
19968,26-000100,-33.613,-10.448,49.25,0.56,72,498,76
19984,26-000131,-33.412,-9.206,45.14,0.29,185,480,70
20015,26-000195,-31.43,-10.876,37.44,1.1,33,300,58
20029,26-000225,-33.372,-7.135,34.94,0.27,373,476,54
20072,26-000301,-31.206,-11.018,28.92,1.13,21,279,45
20183,26-000493,-30.052,-9.471,20.91,1.3,161,175,33
20186,26-000496,-31.512,-10.497,20.82,1.09,68,307,33
20214,26-000543,-30.823,-10.029,19.25,0.55,110,245,30
20215,26-000544,-31.648,-6.878,19.21,0.38,397,320,30
20226,26-000566,-32.246,-5.95,18.65,0.13,481,374,29
20323,26-000745,-33.375,-10.924,14.46,0.75,29,476,23
20326,26-000752,-30.452,-7.881,14.35,0.27,306,211,23
20327,26-000753,-30.155,-10.209,14.32,0.26,94,184,23
20344,26-000785,-30.48,-8.337,13.83,1.07,264,213,22
20385,26-000856,-31.205,-9.77,12.79,0.53,134,279,20
20403,26-000880,-30.999,-7.926,12.37,0.29,301,261,20
20409,26-000891,-32.237,-8.407,12.22,0.93,258,373,19
20422,26-000913,-30.579,-6.971,11.9,0.22,388,222,19
20438,26-000943,-31.756,-10.226,11.49,0.13,93,329,18
20442,26-000952,-32.19,-7.377,11.42,0.1,351,369,18
20454,26-000967,-32.406,-10.655,11.17,0.14,54,388,18
20460,26-000977,-32.106,-6.799,11.01,0.08,404,361,17
20464,26-000981,-33.539,-5.882,10.98,0.18,487,491,17
20475,26-001007,-31.357,-9.808,10.78,0.59,130,293,17
20503,26-001050,-32.574,-7.784,10.27,0.14,314,404,16
20521,26-001075,-31.879,-6.392,10.02,1.0,441,341,16
20527,26-001084,-30.951,-11.187,9.96,0.19,5,256,16
20554,26-001123,-32.494,-6.688,9.53,0.08,414,396,15
20555,26-001125,-32.353,-8.157,9.51,0.43,280,384,15
20587,26-001171,-30.191,-10.983,9.08,0.07,24,187,14
20622,26-001244,-32.627,-6.589,8.49,0.08,423,408,14
20636,26-001271,-31.028,-8.105,8.29,0.65,285,263,13
20648,26-001291,-31.89,-6.956,8.2,0.12,390,342,13
