Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
16848,23-000093,-11.315,146.486,49.51,2.16,21,5,77
16852,23-000097,-13.866,150.193,48.67,0.34,358,237,75
16856,23-000101,-16.546,146.487,47.56,1.17,21,481,74
16888,23-000133,-16.161,151.213,41.84,0.97,450,446,65
16896,23-000141,-12.152,149.766,41.15,1.64,319,81,64
16936,23-000181,-16.514,150.137,37.32,0.78,353,478,58
17008,23-000253,-14.181,147.234,31.41,0.18,89,266,49
17042,23-000287,-11.625,148.828,29.34,0.84,234,34,46
17061,23-000306,-12.305,146.64,28.45,1.29,35,95,44
17133,23-000378,-16.617,146.852,24.99,0.22,54,487,39
17207,23-000452,-14.64,149.569,22.13,0.8,301,307,35
17222,23-000467,-16.09,150.216,21.72,1.41,360,439,34
17355,23-000600,-14.91,150.71,18.38,0.65,405,332,29
17503,23-000748,-13.194,146.867,15.54,0.38,56,176,24
17532,23-000777,-12.123,148.737,15.22,0.33,225,79,24
17542,23-000787,-14.489,150.486,15.01,0.54,384,294,24
17560,23-000805,-12.055,146.479,14.69,0.31,20,73,23
17607,23-000852,-11.362,147.133,14.04,0.39,80,10,22
17635,23-000880,-12.582,148.419,13.76,0.62,197,121,22
17638,23-000883,-13.412,147.979,13.69,0.33,157,196,22
17640,23-000885,-14.706,151.358,13.66,0.45,464,313,22
17654,23-000899,-13.306,149.801,13.41,1.05,322,186,21
17721,23-000966,-16.151,147.023,12.68,0.24,70,445,20
17754,23-000999,-15.287,147.598,12.26,0.36,122,366,19
17763,23-001008,-16.236,148.224,12.13,1.13,179,452,19
17765,23-001010,-15.088,150.822,12.12,1.11,415,348,19
17789,23-001034,-16.43,146.332,11.87,0.0,7,470,19
17831,23-001076,-13.602,149.371,11.49,0.38,283,213,18
17840,23-001085,-16.372,147.331,11.44,0.46,98,465,18
17846,23-001091,-12.379,146.273,11.34,0.44,2,102,18
17857,23-001102,-15.198,146.872,11.25,0.34,56,358,18
17876,23-001121,-12.7,147.902,11.14,0.26,150,131,18
17917,23-001162,-14.585,150.277,10.79,0.4,365,302,17
17980,23-001225,-13.3,147.202,10.21,0.34,86,186,16
17987,23-001232,-14.171,148.247,10.16,0.34,181,265,16
18025,23-001270,-12.515,147.607,9.85,0.27,123,114,16
18046,23-001291,-15.791,150.074,9.73,0.33,347,412,15
18090,23-001335,-14.392,146.631,9.36,0.96,34,285,15
18091,23-001336,-15.254,151.526,9.35,0.0,479,363,15
18108,23-001353,-11.637,147.868,9.23,0.41,146,35,15
18129,23-001374,-16.203,149.315,9.09,0.0,278,449,14
18159,23-001404,-13.921,148.382,8.96,0.31,193,242,14
18215,23-001460,-12.057,148.109,8.64,0.24,168,73,14
18229,23-001474,-11.313,147.31,8.59,0.21,96,5,14
18257,23-001502,-15.242,151.787,8.45,0.19,503,362,13
18260,23-001505,-11.733,148.325,8.43,0.14,188,43,13
18263,23-001508,-11.633,149.861,8.4,0.23,328,34,13
18281,23-001526,-12.281,150.733,8.3,0.4,407,93,13
18300,23-001545,-16.24,149.377,8.22,0.23,284,453,13
18333,23-001578,-12.275,151.055,8.07,0.11,436,93,13
