Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
16758,23-000003,-14.512,175.529,158.12,1.37,104,296,244
16830,23-000075,-12.944,178.218,55.92,0.52,349,153,87
16893,23-000138,-14.851,179.067,41.48,0.96,426,327,64
16907,23-000152,-12.745,178.641,39.75,0.52,387,135,62
16952,23-000197,-13.06,178.917,36.49,0.0,412,164,57
16983,23-000228,-13.339,176.628,33.44,0.87,204,189,52
17006,23-000251,-15.762,175.875,31.54,0.78,136,409,49
17067,23-000312,-15.977,175.783,28.13,1.33,127,429,44
17122,23-000367,-13.907,177.71,25.35,0.88,302,241,39
17136,23-000381,-14.299,179.529,24.9,0.46,468,276,39
17215,23-000460,-14.471,175.985,21.84,0.17,146,292,34
17248,23-000493,-16.846,179.01,20.86,0.29,421,508,33
17292,23-000537,-12.427,175.77,19.85,0.61,126,106,31
17307,23-000552,-14.64,179.322,19.51,0.86,449,307,31
17381,23-000626,-14.46,176.683,17.98,0.35,209,291,28
17408,23-000653,-15.756,178.363,17.48,0.27,362,409,27
17409,23-000654,-12.692,179.449,17.33,0.32,460,130,27
17417,23-000662,-13.131,177.151,17.14,0.56,252,170,27
17418,23-000663,-14.805,178.192,17.13,0.26,346,322,27
17454,23-000699,-13.162,174.982,16.43,0.33,55,173,26
17486,23-000731,-15.552,178.254,15.91,0.33,352,390,25
17518,23-000763,-12.963,175.581,15.38,1.15,109,155,24
17531,23-000776,-16.344,175.203,15.23,0.14,75,462,24
17535,23-000780,-14.307,177.938,15.19,0.78,323,277,24
17536,23-000781,-15.33,179.246,15.13,0.59,442,370,24
17543,23-000788,-15.389,174.446,14.99,0.62,6,376,24
17731,23-000976,-15.893,179.32,12.57,1.08,449,421,20
17735,23-000980,-13.961,178.215,12.54,0.64,348,246,20
17750,23-000995,-15.983,178.83,12.33,0.0,404,429,19
17773,23-001018,-13.805,178.735,12.07,0.35,396,232,19
17798,23-001043,-13.666,179.422,11.76,0.35,458,219,19
17807,23-001052,-14.396,178.285,11.69,0.41,355,285,18
17819,23-001064,-14.739,178.408,11.61,0.29,366,316,18
17852,23-001097,-15.716,179.095,11.29,0.46,428,405,18
17971,23-001216,-15.653,176.71,10.33,0.9,212,399,16
17998,23-001243,-12.581,179.546,10.08,0.86,469,120,16
18022,23-001267,-11.754,179.779,9.87,0.96,490,45,16
18033,23-001278,-16.123,178.264,9.81,0.0,353,442,16
18093,23-001338,-16.365,178.204,9.32,0.89,347,464,15
18106,23-001351,-12.148,176.146,9.24,0.67,160,81,15
18191,23-001436,-14.023,176.984,8.76,0.23,237,251,14
18280,23-001525,-12.867,174.998,8.32,0.34,56,146,13
18289,23-001534,-14.548,178.157,8.27,0.18,343,299,13
18318,23-001563,-13.346,178.576,8.14,0.19,381,190,13
