Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
20679,27-000017,-44.884,28.396,102.85,1.18,24,500,159
20682,27-000023,-40.942,28.892,94.25,1.85,69,142,145
20703,27-000062,-43.752,31.076,67.0,1.21,268,397,104
20727,27-000107,-43.253,30.3,56.66,1.52,197,352,88
20769,27-000176,-40.519,31.284,46.19,1.15,286,103,72
20773,27-000183,-39.464,33.549,45.19,0.8,492,8,70
20796,27-000224,-39.412,30.253,41.4,0.4,193,3,64
20831,27-000284,-39.907,29.947,36.83,0.82,165,48,57
20898,27-000393,-39.694,28.408,29.53,0.4,25,28,46
20907,27-000417,-44.03,31.991,28.59,0.63,351,422,44
20926,27-000447,-41.983,30.883,27.37,0.51,250,236,43
20927,27-000450,-44.971,29.783,27.26,0.38,150,508,42
20947,27-000482,-39.452,31.351,25.25,1.21,293,6,39
20974,27-000536,-44.557,30.986,23.49,0.36,259,470,37
20978,27-000545,-39.691,31.955,23.09,0.78,347,28,36
21024,27-000614,-44.21,32.432,20.05,0.46,391,439,31
21070,27-000690,-42.787,33.399,18.36,0.57,479,309,29
21099,27-000734,-44.749,30.177,17.63,1.0,186,488,28
21111,27-000758,-43.264,29.795,17.37,0.51,151,353,27
21142,27-000804,-43.532,28.696,16.37,0.14,51,377,26
21158,27-000827,-44.494,32.985,16.0,0.27,441,465,25
21169,27-000848,-44.844,33.323,15.47,0.17,472,496,24
21182,27-000874,-41.708,30.256,15.1,0.34,193,211,24
21188,27-000881,-44.235,31.747,15.0,0.23,329,441,24
21191,27-000884,-41.711,29.92,14.92,0.42,163,212,23
21210,27-000910,-42.234,31.897,14.54,0.11,342,259,23
21218,27-000919,-44.827,30.808,14.37,0.53,243,495,23
21236,27-000963,-41.941,31.961,13.61,0.27,348,233,21
21267,27-001011,-41.219,30.31,13.04,0.28,198,167,21
21311,27-001084,-43.04,31.965,12.19,0.28,348,332,19
21336,27-001129,-41.416,30.815,11.56,0.29,244,185,18
21356,27-001158,-40.131,32.04,11.29,0.13,355,68,18
21366,27-001173,-44.955,31.574,11.18,0.27,313,506,18
21410,27-001254,-42.383,32.226,10.29,0.32,372,273,16
21437,27-001291,-44.779,31.048,9.97,0.0,265,490,16
21450,27-001314,-42.998,28.37,9.72,0.2,22,329,15
21468,27-001345,-43.329,32.229,9.5,0.38,372,359,15
21490,27-001377,-42.077,30.364,9.26,0.26,203,245,15
21507,27-001409,-44.9,28.764,8.97,0.0,58,501,14
