Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
5985,13-000039,14.284,54.468,73.97,1.53,349,235,114
6009,13-000063,15.949,56.214,64.79,0.63,507,84,100
6046,13-000100,11.647,54.053,52.29,1.07,311,474,81
6057,13-000111,14.651,53.483,48.2,1.71,259,202,75
6075,13-000129,16.602,53.164,43.76,0.47,230,24,68
6111,13-000165,15.867,53.106,37.08,0.19,225,91,58
6129,13-000183,13.688,51.82,34.87,0.19,108,289,54
6162,13-000216,14.817,54.243,32.44,0.0,328,186,50
6163,13-000217,15.449,55.609,32.3,0.49,452,129,50
6177,13-000231,13.613,52.105,30.88,0.33,134,296,48
6183,13-000237,12.501,54.973,30.62,0.53,394,397,48
6188,13-000242,11.291,55.137,30.21,0.31,409,507,47
6205,13-000259,14.941,56.184,28.73,0.23,505,175,45
6224,13-000278,12.046,52.076,26.81,1.33,131,438,42
6227,13-000281,12.373,55.34,26.59,0.35,428,408,41
6248,13-000302,12.213,54.137,25.21,0.33,319,423,39
6288,13-000342,14.1,53.566,23.27,0.18,267,252,36
6305,13-000359,13.184,53.079,21.89,0.54,222,335,34
6306,13-000360,12.553,54.733,21.88,0.66,373,392,34
6318,13-000372,15.949,55.604,20.96,0.69,452,84,33
6364,13-000418,15.453,50.921,18.94,0.3,26,129,30
6375,13-000429,12.17,51.748,18.6,0.33,102,427,29
6385,13-000439,12.036,52.941,18.2,0.95,210,439,28
6421,13-000475,15.254,54.074,17.28,0.36,313,147,27
6452,13-000506,11.889,51.252,16.56,0.13,56,452,26
6468,13-000522,15.983,54.998,16.14,0.19,397,81,25
6477,13-000531,12.993,53.485,15.92,0.95,259,352,25
6492,13-000546,14.219,51.574,15.55,0.25,86,241,24
6510,13-000564,15.799,52.472,15.16,0.48,167,97,24
6534,13-000588,12.485,54.027,14.62,0.2,309,398,23
6556,13-000610,14.095,51.081,14.04,0.84,41,252,22
6569,13-000623,11.762,55.374,13.8,0.28,431,464,22
6572,13-000626,15.575,54.559,13.76,0.92,357,118,22
6574,13-000628,14.988,51.231,13.69,0.24,55,171,22
6619,13-000673,11.856,53.053,13.03,0.71,220,455,21
6643,13-000697,16.869,55.17,12.7,0.17,412,0,20
6676,13-000730,15.257,54.802,12.11,0.71,379,146,19
6682,13-000736,12.563,55.374,12.05,0.0,431,391,19
6697,13-000751,16.028,53.375,11.9,0.94,249,76,19
6731,13-000785,15.014,50.629,11.51,0.16,0,169,18
6764,13-000818,13.455,53.789,11.14,0.24,287,310,18
6780,13-000834,14.147,52.545,10.89,0.16,174,247,17
6822,13-000876,13.058,52.255,10.38,0.12,148,346,16
6833,13-000887,16.259,51.518,10.22,0.08,81,55,16
6854,13-000908,12.911,52.494,10.08,0.75,169,360,16
6872,13-000926,11.587,55.22,9.86,0.24,417,480,16
6926,13-000980,16.402,53.768,9.27,0.76,285,42,15
6929,13-000983,12.659,51.431,9.25,0.65,73,383,15
6967,13-001021,16.59,51.739,9.0,0.62,101,25,14
7032,13-001086,14.035,54.532,8.53,0.39,354,257,14
7072,13-001126,12.427,52.434,8.23,0.09,164,404,13
7083,13-001137,15.612,51.203,8.1,0.61,52,114,13
7086,13-001140,11.416,56.245,8.08,0.22,510,495,13
