Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
1620,06-000008,38.052,82.331,67.07,0.32,325,120,104
1634,06-000027,33.938,79.639,36.56,0.21,80,493,57
1673,06-000098,37.06,79.953,18.9,0.27,109,210,30
1687,06-000118,35.367,82.559,17.04,0.13,346,364,27
1689,06-000121,37.011,81.088,16.92,0.21,212,214,27
1711,06-000156,36.176,79.258,14.57,0.23,46,290,23
1723,06-000173,36.117,82.317,13.59,0.11,324,295,21
1745,06-000204,36.015,80.478,12.48,0.71,156,305,20
1750,06-000214,36.625,81.678,11.67,0.21,265,249,18
1800,06-000282,37.813,80.027,9.66,0.11,116,141,15
1835,06-000334,33.808,80.784,8.64,0.13,184,505,14
1845,06-000350,35.193,78.855,8.35,0.27,9,379,13
1867,06-000377,33.864,83.341,8.02,0.04,417,500,13
