Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
10501,19-000063,-12.279,-20.293,61.61,1.56,200,93,95
10529,19-000091,-13.378,-20.04,52.29,1.11,223,193,81
10580,19-000142,-15.505,-20.514,41.49,1.93,180,386,64
10662,19-000224,-13.715,-18.411,31.84,0.16,371,223,49
10676,19-000238,-14.995,-19.149,30.69,0.96,304,340,48
10703,19-000265,-16.285,-20.895,29.35,1.62,145,457,46
10728,19-000290,-16.008,-18.279,28.15,1.65,383,432,44
10762,19-000324,-11.698,-19.512,26.23,0.14,271,40,41
10790,19-000352,-12.578,-18.589,24.96,0.81,355,120,39
10820,19-000382,-13.2,-21.036,23.72,1.5,132,177,37
10827,19-000389,-11.278,-17.788,23.11,0.95,428,2,36
10854,19-000416,-11.876,-19.19,21.96,0.14,300,56,34
10878,19-000440,-16.804,-17.46,21.2,0.65,457,504,33
10910,19-000472,-12.21,-16.994,20.39,0.46,500,87,32
10945,19-000507,-16.183,-20.03,19.54,0.61,224,448,31
11017,19-000579,-16.679,-16.91,17.58,1.25,507,493,28
11052,19-000614,-15.011,-22.192,16.62,0.0,27,341,26
11120,19-000682,-12.715,-20.946,15.14,0.41,141,133,24
11366,19-000928,-11.396,-17.936,11.55,1.18,414,13,18
11492,19-001054,-13.97,-21.758,10.09,0.32,67,247,16
11538,19-001100,-15.053,-21.41,9.72,0.37,99,345,15
11583,19-001145,-14.913,-22.177,9.38,0.0,29,332,15
11611,19-001173,-11.546,-21.991,9.22,0.9,46,26,15
11616,19-001178,-16.309,-21.452,9.19,0.0,95,459,15
11641,19-001203,-15.698,-19.58,9.07,0.75,265,404,14
11695,19-001257,-13.61,-20.756,8.63,0.79,158,214,14
11777,19-001339,-13.374,-22.052,8.15,0.0,40,192,13
