,id,lat,lon,diam,depth
13627,21-000069,-4.889,73.204,62.2,0.57
13636,21-000078,-0.917,76.646,58.84,1.33
13669,21-000111,-0.815,75.403,50.71,0.32
13682,21-000124,-2.572,74.887,49.26,0.67
13694,21-000136,-1.696,75.418,48.38,1.21
13738,21-000180,-4.7,76.734,42.12,0.87
13757,21-000199,-1.654,74.191,39.82,0.87
13777,21-000219,-4.521,76.89,37.56,0.94
13802,21-000244,-5.62,78.692,36.03,1.86
13809,21-000251,-3.251,74.03,35.58,0.2
13891,21-000333,-2.199,73.441,30.96,0.17
13898,21-000340,-1.946,76.332,30.19,0.24
13913,21-000355,-4.986,76.362,29.2,0.68
13941,21-000383,-4.376,77.834,28.1,0.31
13952,21-000394,-2.272,76.285,27.55,0.11
13988,21-000430,-2.624,73.635,26.1,0.12
14003,21-000445,-2.948,73.992,25.71,0.0
14016,21-000458,-2.677,76.361,25.35,0.66
14046,21-000488,-5.307,75.841,24.41,0.64
14189,21-000631,-3.908,77.672,20.32,0.36
14323,21-000765,-5.04,74.326,17.44,0.64
14343,21-000785,-2.832,73.289,16.97,0.26
14383,21-000825,-0.237,73.166,16.33,0.89
14413,21-000855,-3.808,78.068,15.86,0.2
14522,21-000964,-4.289,78.345,14.43,0.19
14552,21-000994,-2.471,75.633,14.09,0.08
14600,21-001042,-4.212,77.21,13.47,0.14
14622,21-001064,-3.262,78.093,13.13,1.05
14694,21-001136,-0.078,78.186,12.4,0.87
14706,21-001148,-2.259,77.037,12.28,0.37
14789,21-001231,-3.58,77.362,11.4,1.02
14795,21-001237,-4.216,78.667,11.36,0.94
14802,21-001244,-3.134,75.227,11.31,0.25
14926,21-001368,-4.295,76.655,10.27,0.3
14930,21-001372,-2.727,78.119,10.26,0.29
