Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
19256,25-000071,-36.153,-117.312,61.79,0.56,73,218,96
19289,25-000121,-39.135,-117.777,46.65,1.2,31,489,72
19325,25-000180,-37.952,-117.671,39.62,0.48,41,381,61
19330,25-000187,-36.022,-118.01,38.84,0.0,10,206,60
19377,25-000287,-35.804,-116.951,30.35,1.01,106,186,47
19380,25-000298,-38.389,-116.983,29.82,0.42,103,421,46
19393,25-000329,-37.943,-112.752,27.72,0.78,488,380,43
19397,25-000334,-39.051,-116.922,27.4,1.25,109,481,43
19411,25-000366,-35.744,-114.518,25.44,0.7,327,181,40
19413,25-000368,-36.9,-115.933,25.28,0.0,199,286,39
19432,25-000416,-36.703,-115.436,23.31,1.63,244,268,36
19439,25-000430,-36.563,-113.659,22.72,0.56,405,255,35
19460,25-000482,-34.86,-114.981,21.37,0.1,285,100,33
19466,25-000497,-36.435,-116.361,20.8,0.07,160,243,32
19478,25-000526,-38.642,-117.414,20.19,0.32,64,444,32
19513,25-000604,-38.803,-117.19,17.85,0.19,84,459,28
19528,25-000643,-37.794,-117.306,17.0,0.23,74,367,27
19541,25-000683,-38.157,-116.337,16.22,0.2,162,400,25
19542,25-000685,-38.811,-114.822,16.2,0.14,300,459,25
19544,25-000688,-35.19,-115.254,16.14,1.0,260,130,25
19567,25-000737,-38.409,-116.254,15.38,0.32,169,423,24
19591,25-000791,-37.127,-113.925,14.68,0.46,381,306,23
19593,25-000797,-38.866,-112.642,14.61,0.27,498,464,23
19594,25-000798,-36.695,-115.173,14.6,0.57,268,267,23
19622,25-000856,-35.105,-113.22,13.81,0.06,445,123,22
19629,25-000867,-37.746,-113.669,13.63,0.0,404,363,21
19632,25-000884,-38.789,-115.603,13.34,0.23,229,457,21
19634,25-000889,-36.727,-112.658,13.29,0.77,496,270,21
19635,25-000890,-34.967,-114.172,13.29,0.92,359,110,21
19667,25-000977,-36.717,-116.588,12.45,0.17,139,269,20
19673,25-000992,-35.261,-117.88,12.29,0.89,22,137,19
19682,25-001018,-36.901,-113.464,12.04,0.19,423,286,19
19729,25-001110,-35.132,-117.161,10.83,0.52,87,125,17
19744,25-001135,-35.903,-114.91,10.57,0.14,292,195,17
19747,25-001142,-35.615,-117.755,10.47,0.21,33,169,17
19772,25-001188,-34.424,-112.7,10.03,0.66,492,61,16
19775,25-001200,-37.87,-117.6,9.95,0.3,47,374,16
19785,25-001223,-38.125,-112.999,9.78,0.11,465,397,16
19804,25-001259,-34.179,-112.902,9.51,0.31,474,38,15
19806,25-001263,-36.813,-117.503,9.49,0.57,56,278,15
19822,25-001294,-36.136,-112.881,9.29,0.68,476,216,15
19823,25-001297,-34.377,-112.867,9.27,0.78,477,56,15
19833,25-001314,-37.307,-117.069,9.13,0.19,95,323,15
19843,25-001339,-35.738,-113.865,8.96,0.08,386,180,14
19853,25-001360,-36.476,-114.531,8.77,0.0,326,247,14
19886,25-001428,-36.75,-113.04,8.29,0.46,461,272,13
19904,25-001461,-39.017,-114.537,8.13,0.12,325,478,13
