Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
8344,16-000200,-2.445,-176.979,36.34,1.27,274,222,56
8474,16-000330,-2.899,-176.227,28.27,0.28,342,263,44
8646,16-000502,-4.294,-177.535,22.03,0.93,223,390,34
8682,16-000538,-5.371,-179.172,20.87,0.19,75,487,33
8735,16-000591,-5.006,-179.945,19.25,0.0,4,454,30
8963,16-000819,-3.172,-178.442,14.91,0.61,141,288,23
8980,16-000836,-5.269,-179.905,14.69,0.42,8,478,23
9020,16-000876,-1.089,-176.564,14.05,0.14,312,98,22
9057,16-000913,-3.109,-178.037,13.54,0.47,178,282,21
9174,16-001030,-2.78,-178.384,11.97,0.47,146,252,19
9224,16-001080,-0.726,-176.575,11.52,0.38,311,65,18
9258,16-001114,-0.498,-177.162,11.11,0.24,257,45,18
9325,16-001181,-0.39,-177.313,10.51,0.49,244,35,17
9680,16-001536,-2.078,-174.791,8.16,1.02,473,188,13
