Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
22041,29-000063,-40.161,136.283,61.02,1.83,116,71,94
22042,29-000064,-44.358,139.591,61.01,0.68,417,452,94
22059,29-000087,-40.399,137.942,54.56,0.1,267,93,84
22062,29-000093,-44.536,137.469,53.87,0.99,224,468,83
22114,29-000202,-41.949,140.623,41.01,1.09,510,233,64
22164,29-000299,-43.074,137.276,34.61,0.22,206,336,54
22173,29-000311,-42.251,137.47,34.0,0.87,224,261,53
22191,29-000350,-44.064,136.904,31.62,0.33,172,425,49
22305,29-000599,-42.421,140.141,23.85,0.22,467,276,37
22396,29-000786,-42.373,136.889,20.13,0.27,171,272,31
22408,29-000812,-42.573,139.72,19.72,0.53,428,290,31
22420,29-000839,-39.798,137.061,19.33,0.22,187,38,30
22435,29-000866,-42.817,138.855,18.83,0.52,350,312,29
22454,29-000910,-44.058,140.25,18.05,0.61,476,425,28
22457,29-000916,-44.041,139.269,17.96,0.22,387,423,28
22462,29-000923,-39.375,135.728,17.83,0.31,66,0,28
22549,29-001093,-39.43,135.542,15.5,0.37,49,4,24
22564,29-001119,-44.933,139.524,15.17,0.62,410,504,24
22584,29-001170,-41.407,136.408,14.56,0.25,127,184,23
22620,29-001246,-43.323,137.172,13.76,0.24,197,358,22
22640,29-001283,-43.425,136.961,13.41,0.11,178,367,21
22669,29-001344,-40.418,135.701,12.86,1.13,63,94,20
22670,29-001347,-41.319,139.534,12.84,0.25,411,176,20
22701,29-001416,-41.59,137.865,12.35,0.32,260,201,19
22716,29-001446,-43.9,136.347,12.0,0.27,122,411,19
22718,29-001460,-42.111,137.407,11.88,0.6,218,248,19
22723,29-001474,-40.818,140.021,11.74,0.36,456,131,19
22731,29-001491,-41.588,135.346,11.56,0.09,31,201,18
22739,29-001513,-40.959,137.098,11.38,0.37,190,143,18
22745,29-001527,-42.758,139.587,11.31,0.19,416,307,18
22799,29-001638,-40.66,138.563,10.6,0.08,323,116,17
22813,29-001671,-44.733,138.46,10.4,0.22,314,486,16
22859,29-001766,-41.413,135.487,9.76,0.0,44,185,16
22877,29-001816,-42.478,139.342,9.48,0.22,394,281,15
22882,29-001823,-41.621,137.235,9.42,0.09,203,204,15
22886,29-001830,-42.085,136.482,9.36,0.13,134,246,15
22970,29-001976,-40.807,135.184,8.64,0.18,16,130,14
23012,29-002069,-40.569,139.936,8.27,0.0,448,108,13
23026,29-002094,-42.258,135.875,8.15,0.23,79,261,13
