Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
4330,12-000126,0.064,13.127,48.99,0.17,170,505,76
4371,12-000167,4.853,11.887,44.65,0.11,57,70,69
4372,12-000168,2.588,15.642,44.54,0.45,398,275,69
4374,12-000170,5.023,16.281,44.44,0.78,457,54,69
4397,12-000193,1.542,14.475,42.71,0.23,292,370,66
4455,12-000251,1.842,13.907,38.13,0.11,241,343,59
4458,12-000254,4.798,13.283,37.69,0.19,184,75,58
4475,12-000271,4.676,15.38,36.53,0.48,375,86,57
4480,12-000276,3.08,15.834,36.05,0.28,416,231,56
4493,12-000289,5.314,14.242,35.17,0.11,271,28,55
4523,12-000319,3.353,13.589,33.04,0.3,212,206,51
4557,12-000353,5.274,16.777,30.73,0.64,502,31,48
4568,12-000364,3.485,15.068,29.82,0.42,346,194,46
4627,12-000423,4.223,15.907,27.18,0.22,423,127,42
4656,12-000452,1.298,13.381,26.17,0.09,193,393,41
4658,12-000454,2.77,12.719,26.1,0.21,133,259,41
4691,12-000487,1.258,11.642,25.07,0.0,35,396,39
4742,12-000538,4.679,12.907,23.16,0.15,150,85,36
4810,12-000606,2.74,13.837,21.06,0.44,235,262,33
4818,12-000614,4.006,13.245,20.86,0.14,181,147,33
4869,12-000665,1.961,15.611,19.7,0.47,396,332,31
4871,12-000667,5.54,16.462,19.65,0.0,473,7,31
4936,12-000732,2.53,15.129,18.45,0.61,352,281,29
4965,12-000761,5.085,14.969,17.92,0.35,337,49,28
4989,12-000785,0.966,14.416,17.48,0.28,287,423,27
5092,12-000888,5.409,14.692,15.57,0.23,312,19,24
5179,12-000975,4.9,15.954,14.25,0.75,427,65,22
5311,12-001107,3.207,11.517,12.51,0.95,24,219,20
5372,12-001168,3.946,13.964,11.92,0.14,246,152,19
5378,12-001174,1.978,15.125,11.86,0.86,352,331,19
5399,12-001195,0.697,11.37,11.62,0.22,10,447,18
5418,12-001214,4.675,11.412,11.42,0.81,14,86,18
5474,12-001270,3.065,12.83,11.05,0.12,143,232,17
5485,12-001281,3.869,12.737,11.0,0.88,135,159,17
5508,12-001304,0.995,11.797,10.8,1.01,49,420,17
5859,12-001655,1.652,15.958,8.48,0.25,427,360,14
5913,12-001709,1.459,15.456,8.13,0.79,382,378,13
5933,12-001729,1.838,16.131,8.05,0.68,443,344,13
