Unnamed: 0,id,lat,lon,diam,depth,pixel_x,pixel_y,lato_bb
10520,19-000082,-4.059,-30.571,53.97,0.92,288,368,84
10542,19-000104,-3.579,-29.99,50.01,1.35,341,325,77
10566,19-000128,-3.955,-30.971,43.83,1.59,252,359,68
10645,19-000207,-4.946,-30.409,33.13,0.2,303,449,51
10655,19-000217,-0.465,-33.564,32.54,0.78,16,42,51
10696,19-000258,-2.047,-29.536,29.71,0.94,382,185,46
10795,19-000357,-5.208,-32.201,24.83,0.28,140,473,39
10815,19-000377,-2.362,-31.839,23.96,1.57,173,214,37
10846,19-000408,-3.021,-30.115,22.26,0.32,330,274,35
10849,19-000411,-1.002,-31.442,22.06,0.12,209,91,34
11008,19-000570,-1.588,-32.243,17.7,1.98,136,144,28
11061,19-000623,-5.194,-29.746,16.27,0.17,363,471,26
11075,19-000637,-4.258,-32.672,16.12,0.81,97,386,25
11085,19-000647,-5.52,-29.493,15.89,0.74,386,501,25
11117,19-000679,-0.883,-30.353,15.2,1.07,308,80,24
11276,19-000838,-4.9,-29.488,12.71,0.47,387,445,20
11426,19-000988,-3.963,-32.963,10.85,0.47,71,360,17
11432,19-000994,-4.025,-30.056,10.8,0.6,335,365,17
11461,19-001023,-0.564,-29.617,10.49,0.8,375,51,17
11479,19-001041,-0.858,-28.93,10.25,0.44,437,77,16
11489,19-001051,-1.778,-29.797,10.12,0.6,359,161,16
11496,19-001058,-0.319,-31.618,10.08,0.5,193,28,16
11543,19-001105,-1.18,-28.797,9.68,0.72,449,107,15
11567,19-001129,-4.625,-32.362,9.48,0.39,126,420,15
11574,19-001136,-2.01,-31.291,9.44,0.36,223,182,15
11585,19-001147,-4.043,-31.671,9.37,0.64,188,367,15
11631,19-001193,-4.662,-33.602,9.12,0.0,13,423,15
11637,19-001199,-0.191,-31.732,9.09,0.79,183,17,14
11649,19-001211,-4.682,-30.4,8.99,0.45,304,425,14
11658,19-001220,-3.239,-32.497,8.9,0.11,113,294,14
11747,19-001309,-4.778,-32.077,8.37,0.27,151,434,13
11793,19-001355,-0.063,-31.528,8.06,0.66,201,5,13
